"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"30951","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/260681","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","20-Apr-2026","sudiksa infra projects","Payment Success","315308"
"30952","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/260712","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","04-Jul-2026","sudiksa infra projects","Payment Success","282968"
"30953","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2025-2026/251447","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","04-Jul-2026","sudiksa infra projects","Payment Success","1140620"
"30954","Punjab","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP380/2025-2026/196705","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","07-Aug-2025","Waheguru Building Materials Store","Payment Success","74620"
"30955","Punjab","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP380/2025-2026/196705","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","28-Oct-2025","Waheguru Building Materials Store","Payment Success","96025"
"30956","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18251/2025-2026/156541","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","SAYANI GHOSH","JADAVPUR","20-Jul-2026","ANITA ENTERPRISE","Payment Success","1070681"
"30957","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18260/2025-2026/185385","SRINAGAR(DEPUTY COMMISSIONER SRINAGAR_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","19-Sep-2025","Nazir Ahmad Surka","Payment Success","98700"
"30958","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP720/2024-2025/145390","CHITTORGARH(DISTRICT COLLECTOR CHITTORGARH_IDA)","Chandra Prakash Joshi","CHITTORGARH","05-Aug-2025","ALPHA ENGINEERING SERVICE","Payment Success","3500"
"30959","Tamil Nadu","Construction of community centers and community halls","WS/MP18184/2025-2026/161840","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","07-Aug-2025","suriyakumar S D","Payment Success","1107988"
"30960","Tamil Nadu","Construction of community centers and community halls","WS/MP18184/2025-2026/161840","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","13-Oct-2025","suriyakumar S D","Payment Success","391511"
"30961","Gujarat","Construction of boundary walls of existing public and community buildings","WS/MP18320/2025-2026/231531","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","GENIBEN NAGAJI THAKOR","BANASKANTHA","20-Nov-2025","PIPLI GRAM IDBI","Payment Success","500000"
"30962","Karnataka","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP18089/2025-2026/181676","KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA)","K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","13-Aug-2025","MALLIKARJUN NANDAPUR","Payment Success","375000"
"30963","Karnataka","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP18089/2025-2026/181676","KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA)","K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","11-Sep-2025","MALLIKARJUN NANDAPUR","Payment Success","121741"
"30964","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/219924","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","17-Oct-2025","RAMPAR GRAM PANCHAYAT","Payment Success","300000"
"30965","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP526/2025-2026/150352","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","15-Sep-2025","NAKKA GURRAPPA","Payment Success","488922"
"30966","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18049/2025-2026/181648","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","TOKHAN SAHU","BILASPUR","17-Sep-2025","GRAM PANCHAYAT GATORA","Payment Success","300000"
"30967","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP600/2024-2025/159008","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Jitendra Singh","UDHAMPUR","19-Aug-2025","MOHINDER SINGH","Payment Success","133000"
"30968","Assam","Construction of rooms and halls in school and colleges","WS/MP410/2025-2026/178465","LAKHIMPUR(DEPUTY COMMISSIONER LAKHIMPUR_IDA)","Pradan Baruah","LAKHIMPUR","21-Aug-2025","DIPANGKOR DOLEY","Payment Success","358111"
"30969","Assam","Construction of rooms and halls in school and colleges","WS/MP410/2025-2026/178465","LAKHIMPUR(DEPUTY COMMISSIONER LAKHIMPUR_IDA)","Pradan Baruah","LAKHIMPUR","23-Dec-2025","DIPANGKOR DOLEY","Payment Success","137172"
"30970","Assam","Construction of rooms and halls in school and colleges","WS/MP410/2025-2026/178464","LAKHIMPUR(DEPUTY COMMISSIONER LAKHIMPUR_IDA)","Pradan Baruah","LAKHIMPUR","22-Aug-2025","MANASH JYOTI BORUAH","Payment Success","401284"
"30971","Assam","Construction of rooms and halls in school and colleges","WS/MP410/2025-2026/178464","LAKHIMPUR(DEPUTY COMMISSIONER LAKHIMPUR_IDA)","Pradan Baruah","LAKHIMPUR","30-Oct-2025","MANASH JYOTI BORUAH","Payment Success","146970"
"30972","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP423/2024-2025/138674","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","13-Nov-2025","BORO MAA ENTERPRISE","Payment Success","299815"
"30973","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP18064/2025-2026/156704","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","NAVEEN JINDAL","KURUKSHETRA","27-Aug-2025","THE KARGIL COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY","Payment Success","292862"
"30974","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18064/2024-2025/150856","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","NAVEEN JINDAL","KURUKSHETRA","12-Aug-2025","THE KARGIL COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY","Payment Success","391023"
"30975","Haryana","Construction of community centers and community halls","WS/MP18064/2024-2025/159731","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","NAVEEN JINDAL","KURUKSHETRA","16-Sep-2025","THE KARGIL COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY","Payment Success","560528"
"30976","Haryana","Construction of community centers and community halls","WS/MP18064/2024-2025/159731","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","NAVEEN JINDAL","KURUKSHETRA","30-Oct-2025","THE KARGIL COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY","Payment Success","62161"
"30977","Chhattisgarh","Construction of community centers and community halls","WS/MP18335/2025-2026/207585","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","RADHE SHYAM RATHIYA","RAIGARH(ST)","07-Nov-2025","GRAM PANCHAYAT","Payment Success","500000"
"30978","Chhattisgarh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18335/2025-2026/207591","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","RADHE SHYAM RATHIYA","RAIGARH(ST)","06-Nov-2025","GRAM PANCHAYAT SONAJORI","Payment Success","750000"
"30979","Chhattisgarh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18335/2025-2026/207591","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","RADHE SHYAM RATHIYA","RAIGARH(ST)","19-Jun-2026","GRAM PANCHAYAT SONAJORI","Payment Success","749853"
"30980","Chhattisgarh","Construction of community centers and community halls","WS/MP18335/2025-2026/207584","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","RADHE SHYAM RATHIYA","RAIGARH(ST)","07-Nov-2025","GRAM PANCHAYAT MOHANPUR","Payment Success","500000"
"30981","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18064/2024-2025/167816","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","NAVEEN JINDAL","KURUKSHETRA","06-Aug-2025","The Royal Madanpur Coop Lab And Con Soc Lt","Payment Success","356725"
"30982","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188930","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","29-Aug-2025","JANTA BKO","Payment Success","110000"
"30983","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188930","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","12-Sep-2025","JANTA BKO","Payment Success","95400"
"30984","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188930","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","12-Sep-2025","JANTA BKO","Payment Success","20000"
"30985","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188930","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","11-Sep-2025","Tayal Trading Company","Payment Success","40058"
"30986","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188930","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","11-Sep-2025","Tayal Trading Company","Payment Success","45900"
"30987","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188930","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","11-Sep-2025","Tayal Trading Company","Payment Success","48300"
"30988","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188930","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","11-Sep-2025","Tayal Trading Company","Payment Success","39186"
"30989","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP18170/2025-2026/176365","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","06-Aug-2025","JANGID CONSTRUCTION COMPANY","Payment Success","484664"
"30990","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP18170/2025-2026/176365","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","06-Aug-2025","GRAM PANCHAYAT JAANA","Payment Success","115155"
"30991","Assam","Construction of community centers and community halls","WS/MP18026/2025-2026/241837","CHIRANG(Deputy Commissioner Chirang_IDA)","JOYANTA BASUMATARY","KOKRAJHAR (ST)","04-Apr-2026","Aklima Khatun","Payment Success","750000"
"30992","Assam","Construction of buildings for community cultural activities","WS/MP18026/2025-2026/225870","CHIRANG(Deputy Commissioner Chirang_IDA)","JOYANTA BASUMATARY","KOKRAJHAR (ST)","04-Apr-2026","Aklima Khatun","Payment Success","750000"
"30993","Assam","Construction of culverts and bridges","WS/MP18026/2025-2026/211172","CHIRANG(Deputy Commissioner Chirang_IDA)","JOYANTA BASUMATARY","KOKRAJHAR (ST)","11-Dec-2025","MS Dwithun Basumatary Enterprise","Payment Success","750000"
"30994","Assam","Construction of culverts and bridges","WS/MP18026/2025-2026/211172","CHIRANG(Deputy Commissioner Chirang_IDA)","JOYANTA BASUMATARY","KOKRAJHAR (ST)","09-Mar-2026","MS Dwithun Basumatary Enterprise","Payment Success","250000"
"30995","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18026/2025-2026/200706","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","JOYANTA BASUMATARY","KOKRAJHAR (ST)","04-Oct-2025","MS Dwithun Basumatary Enterprise","Payment Success","999296"
"30996","Assam","Setting up crops conservation facilities","WS/MP18020/2025-2026/166174","CHIRANG(Deputy Commissioner Chirang_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","26-Aug-2025","Sunilal Basumatary","Payment Success","750000"
"30997","Assam","Setting up crops conservation facilities","WS/MP18020/2025-2026/166174","CHIRANG(Deputy Commissioner Chirang_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","27-Feb-2026","Sunilal Basumatary","Payment Success","250000"
"30998","Haryana","Construction of toilet blocks","WS/MP18064/2024-2025/155133","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","NAVEEN JINDAL","KURUKSHETRA","08-Aug-2025","THE PARDEEP SINGHMAR CO OP L C SOCIETY LTD","Payment Success","89315"
"30999","Madhya Pradesh","Construction of rooms and halls in school and colleges","WS/MP18100/2025-2026/182374","Pandhurna(District Collector Pandhurna_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","18-Aug-2025","principal saraswati shishu mandir mohgaon haweli","Payment Success","300000"
"31000","West Bengal","Lighting of public spaces","WS/MP249/2024-2025/155366","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","Shri Deepak (Dev) Adhikari","GHATAL","02-Sep-2025","SK ABDUL KHALEK","Payment Success","259478"
"31001","West Bengal","Lighting of public spaces","WS/MP249/2024-2025/166928","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","Shri Deepak (Dev) Adhikari","GHATAL","02-Sep-2025","SK ABDUL KHALEK","Payment Success","274500"
"31002","West Bengal","Lighting of public spaces","WS/MP249/2024-2025/155359","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","Shri Deepak (Dev) Adhikari","GHATAL","02-Sep-2025","SK ABDUL KHALEK","Payment Success","273915"
"31003","West Bengal","Lighting of public spaces","WS/MP249/2024-2025/155358","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","Shri Deepak (Dev) Adhikari","GHATAL","02-Sep-2025","SK ABDUL KHALEK","Payment Success","272452"
"31004","West Bengal","Lighting of public spaces","WS/MP249/2024-2025/166923","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","Shri Deepak (Dev) Adhikari","GHATAL","02-Sep-2025","SK ABDUL KHALEK","Payment Success","272859"
"31005","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18014/2024-2025/167465","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","28-Aug-2025","KOMMALAPATI TELLAIAH","Payment Success","499545"
"31006","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18222/2024-2025/170969","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","06-Aug-2025","SANDEEP YADAV","Payment Success","1160618"
"31007","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18222/2024-2025/165200","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","24-Oct-2025","SANDEEP YADAV","Payment Success","752787"
"31008","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18222/2025-2026/177298","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","03-Oct-2025","SANDEEP YADAV","Payment Success","359542"
"31009","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18222/2025-2026/177298","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","01-Dec-2025","SANDEEP YADAV","Payment Success","412166"
"31010","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18390/2025-2026/201025","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","23-Jan-2026","AMEER ENTERPRISES","Payment Success","485102"
"31011","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18390/2025-2026/201025","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","08-Jul-2026","AMEER ENTERPRISES","Payment Success","162055"
"31012","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18390/2025-2026/201017","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","27-Feb-2026","AMEER ENTERPRISES","Payment Success","596304"
"31013","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18390/2025-2026/201026","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","26-Dec-2025","AMEER ENTERPRISES","Payment Success","450077"
"31014","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18390/2025-2026/201026","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","08-Jul-2026","AMEER ENTERPRISES","Payment Success","149819"
"31015","Uttar Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18390/2025-2026/176281","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","03-Feb-2026","AMEER ENTERPRISES","Payment Success","349563"
"31016","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18390/2025-2026/174040","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","14-Oct-2025","AMEER ENTERPRISES","Payment Success","368673"
"31017","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18390/2025-2026/174040","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","20-May-2026","AMEER ENTERPRISES","Payment Success","128254"
"31018","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18390/2025-2026/174037","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","12-Aug-2025","AMEER ENTERPRISES","Payment Success","446425"
"31019","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18390/2025-2026/174037","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","AFZAL ANSARI","GHAZIPUR","24-Nov-2025","AMEER ENTERPRISES","Payment Success","149127"
